'가터 벨트 호즈', 'garter belt hose'
'가트', 'GATT'
'가티플록사신', 'gatifloxacin'
'가프', 'GARP'
'가프 메인세일', 'gaff mainsail'
'가피시', 'garfish'
'캔들', 'candle'
'간사이클로비르', 'ganciclovir'
'간시클로버', 'ganciclovir'
'간틀릿', 'gauntlet'
'갈', 'gal'
'갈라', 'gala'
'갈라세토페논', 'gallacetophenone'
'갈락타아제', 'galactase'
'갈락탄', 'galactan'
'갈락토락타아제', 'galactolactase'
'갈락토만난', 'galactomannan'
'갈락토블라스트', 'galactoblast'
'갈락토사민', 'galactosamine'
'갈락토사이드', 'galactoside'
'갈락토세레브로시드', 'galactocerebroside'
'갈락토스', 'galactose'
'갈락토시데이스', 'galactosidase'
'갈락토시드', 'galactoside'
'갈락토실세라미드', 'galactosylceramide'
'갈락토오스', 'galactose'
'갈락토젠', 'galactogene'
'갈락토지마아제', 'galactozymase'
'갈락틴', 'galactin'
'갈란드', 'garland'
'갈란타민', 'galanthamine'
'갈레트', 'galette'
'갈렌데', 'galende'
'갈로사이아닌', 'gallocyanine'
'갈로시', 'galoshes'
'갈로탄닌', 'gallotannin'
'갈륨', 'gallium'
'갈리신', 'gallicin'
'갈리오넬라', 'Gallionella'
'갈리톡신', 'galitoxin'
'갈릭', 'garlic'
'갈릭 소스', 'garlic sauce'
'갈린', 'gallin'
'갈바노 스크린', 'galvano screen'
'갈바노미터', 'galvanometer'
'갈바니즘', 'galvanism'
'갈바닉 셀', 'galvanic cell'
'갈토니아', 'galtonia'
'감비손', 'gambeson'
'갓', 'god'
'갓 콜드', 'got called'
'갓 겜', 'god game'
'갓즈 라스트 기프트', 'gods last gift'
'갓 템', 'god item'
'강 바웅', 'gaung baung'
'강가루', 'kangaroo'
'강고사', 'gangosa'
'강글리오사이드', 'ganglioside'
'강글리오시드', 'ganglioside'
'강두라', 'gandoura'
'개그', 'gag'
'개그 댄스', 'gag dance'
'개그 송', 'gag song'
'개그 아이돌', 'gag idol'
'개그 코드', 'gag code'
'개그 프로', 'gag program'
'개그맨', 'gagman'
'개그우먼', 'gagwoman'
'개노필라이트', 'ganophyllite'
'개더', 'gather'
'개더 요크', 'gather yoke'
'개더드 울', 'gathered wool'
'개더드 케이프', 'gathered cape'
'개더드 팬츠', 'gathered pants'
'개더링', 'gathering'
'개더링 로더', 'gathering loader'
'개더링 피즈코즈', 'gathering peascods'
'개더 스커트', 'gathered skirt'
'개라지 펑크', 'garage punk'
'개러지 밴드', 'garage band'
